#
# Data written by ponto at 10 Feb 2015, 11:51:23.00000
#
H Object  S PHL1445, CCD 2 # Object name
H Coordinate  DIR automatically generated directory
H Telescope  TEL Telescope: WHT, site: La Palma, 17.8816 deg. West, 28.7606 deg. North, height = 2332m Telescope & site information
H Equatorial  POS RA: 02:42:42.9, Dec: -11:46:45.5, Ep: 2000 Equatorial position of object on the sky (RA, Dec)
H TimeType  S MJD (Heliocentric UTC) # Type of times
H Ephemeris  DIR Ephemeris information for computation of phases
H T0  D 55202.1 Zero point
H period  D 0.0529849 Period
H quad  D 0 Quadratic term
H tscale  S MJD # Timescale used
T POINTS
XD 1 user 0 0 0 0 0 1 "cycles"
YEF 2 3 user 0 0 0 0 0 1 ""
#
# Now the data.
#
-1.2078835796728526 0.55998390913009644 0.019227795302867889
-1.2074460056846874 0.57145333290100098 0.018540319055318832
-1.207008431560098 0.57587993144989014 0.021863847970962524
-1.2065708574336895 0.58994919061660767 0.020081004127860069
-1.2061332834473433 0.54986506700515747 0.019379485398530960
-1.2056957093209348 0.5571332573890686 0.016828654333949089
-1.2052581334119168 0.60764902830123901 0.019798818975687027
-1.2048205592855084 0.6025051474571228 0.022126279771327972
-1.2043829852973431 0.55932539701461792 0.017378589138388634
-1.2039454113109969 0.60565102100372314 0.018995517864823341
-1.2035078370481642 0.60256087779998779 0.019302686676383018
-1.203070263059999 0.59166532754898071 0.018075233325362206
-1.2026326890718337 0.60467928647994995 0.019280113279819489
-1.2021951131609967 0.59701037406921387 0.019399406388401985
-1.2017575390364073 0.60043489933013916 0.017866518348455429
-1.2013199649118178 0.62602770328521729 0.019368387758731842
-1.2008823909236526 0.6023070216178894 0.020026506856083870
-1.2004448167972441 0.65399420261383057 0.024002600461244583
-1.2000072426726547 0.60326147079467773 0.021821692585945129
-1.1995696686844894 0.61204749345779419 0.019720034673810005
-1.1991320927736524 0.6137387752532959 0.017212349921464920
-1.198694518649063 0.65540993213653564 0.019183151423931122
-1.1982569446608977 0.67682367563247681 0.019354231655597687
-1.1978193705363083 0.61533695459365845 0.017390936613082886
-1.197381796548143 0.64265739917755127 0.017873289063572884
-1.1969442224235536 0.69113200902938843 0.018705923110246658
-1.1965066484353883 0.67502903938293457 0.017671786248683929
-1.1960690725245513 0.66185474395751953 0.017454411834478378
-1.1956314983999619 0.64468181133270264 0.017359076067805290
-1.1951939242735534 0.6358000636100769 0.016005666926503181
-1.1947563502872072 0.64758819341659546 0.017913803458213806
-1.1943187761607987 0.62430447340011597 0.015096295624971390
-1.1938812020362093 0.65550339221954346 0.018303554505109787
-1.1934436261253722 0.66166269779205322 0.018585905432701111
-1.193006052137207 0.68469637632369995 0.019328067079186440
-1.1925684781490418 0.65743130445480347 0.017981108278036118
-1.1921309038880281 0.65334951877593994 0.018995055928826332
-1.1916933298998629 0.64856088161468506 0.021939517930150032
-1.1912557559116976 0.63275402784347534 0.019744725897908211
-1.1908181819235324 0.65692800283432007 0.020986706018447876
-1.1903806058762711 0.63943547010421753 0.018564544618129730
-1.1899430317516817 0.65054398775100708 0.018059164285659790
-1.1895054577635165 0.62991631031036377 0.019256189465522766
-1.1890678837753512 0.6273314356803894 0.016644293442368507
-1.1886303095125186 0.60078173875808716 0.016342123970389366
-1.1881927355243533 0.60657221078872681 0.018126744776964188
-1.1877551615361881 0.59418857097625732 0.016443608328700066
-1.18731758562717 0.61695736646652222 0.015824526548385620
-1.1868800115007616 0.6014554500579834 0.016916163265705109
-1.1864424373761722 0.58237999677658081 0.018302004784345627
-1.1860048633880069 0.56480169296264648 0.017411515116691589
-1.1855672893998417 0.59776318073272705 0.018423361703753471
-1.1851297152752522 0.604256272315979 0.016034051775932312
-1.1846921393644152 0.59466797113418579 0.016752753406763077
-1.1842545652398258 0.59722363948822021 0.016998859122395515
-1.1838169912516605 0.59518051147460938 0.017051732167601585
-1.1833794171270711 0.57467293739318848 0.019673530012369156
-1.1829418430006626 0.59689730405807495 0.016823902726173401
-1.1825042690124974 0.6195715069770813 0.017297048121690750
-1.1820666950261511 0.61157572269439697 0.016777284443378448
-1.1816291189770709 0.61545610427856445 0.018204323947429657
-1.1811915449889057 0.6214907169342041 0.019574282690882683
-1.1807539708643162 0.62286442518234253 0.020742226392030716
-1.180316396876151 0.6336016058921814 0.019715413451194763
-1.1798788227515615 0.61864191293716431 0.019389737397432327
-1.1794412487633963 0.60031187534332275 0.017030082643032074
-1.1790036746388068 0.59855401515960693 0.018331993371248245
-1.1785660987279698 0.59990447759628296 0.016679614782333374
-1.1781285246033804 0.5760309100151062 0.016804516315460205
-1.1776909506152151 0.58776706457138062 0.016676204279065132
-1.1772533764888067 0.62145811319351196 0.019027307629585266
-1.1768158025024604 0.58016586303710938 0.017529871314764023
-1.176378228376052 0.58624720573425293 0.016582302749156952
-1.1759406543878868 0.59852123260498047 0.016639269888401031
-1.1755030784788687 0.6347995400428772 0.017770417034626007
-1.1750655043524603 0.5973699688911438 0.016737230122089386
-1.1746279302278708 0.6183006763458252 0.016066560521721840
-1.1741903562397056 0.61866241693496704 0.017167301848530769
-1.1737527822515403 0.60164248943328857 0.018281508237123489
-1.1733152081269509 0.63140618801116943 0.017899284139275551
-1.1728776320796896 0.63146340847015381 0.018901607021689415
-1.1724400580915244 0.63907754421234131 0.017673041671514511
-1.1720024841033592 0.60892409086227417 0.018425798043608665
-1.1715649099787697 0.60430383682250977 0.018613902851939201
-1.1711273359906045 0.64231365919113159 0.017728656530380249
-1.170689761864196 0.6412772536277771 0.020150689408183098
