#
# Data written by ponto at 20 Jan 2015, 12:42:42.00000
#
H Object  S SDSS0901, CCD 2 # Object name
H Coordinate  DIR automatically generated directory
H Telescope  TEL Telescope: WHT, site: La Palma, 17.8816 deg. West, 28.7606 deg. North, height = 2332m Telescope & site information
H Equatorial  POS RA: 09:01:03.9, Dec: +48:09:11.1, Ep: 2000 Equatorial position of object on the sky (RA, Dec)
H TimeType  S MJD (Heliocentric UTC) # Type of times
H Ephemeris  DIR Ephemeris information for computation of phases
H T0  D 55942.1 Zero point
H period  D 0.0778805 Period
H quad  D 0 Quadratic term
H tscale  S MJD # Timescale used
T POINTS
XD 1 user 0 0 0 0 0 1 "cycles"
YEF 2 3 user 0 0 0 0 0 1 ""
#
# Now the data.
#
-0.099102328436457929 0.055255625396966934 0.00039509835187345743
-0.097407335863785985 0.056104209274053574 0.00042256631422787905
-0.095758784639607852 0.055939815938472748 0.00038618012331426144
-0.094063519238929347 0.056089572608470917 0.00041416782187297940
-0.092406379727049959 0.055787887424230576 0.00039737278711982071
-0.090708099185493829 0.055672474205493927 0.00041576661169528961
-0.089048788865490822 0.055578891187906265 0.00039470999035984278
-0.087367817971408079 0.05569901317358017 0.00041664042510092258
-0.085706731809864128 0.056083489209413528 0.00039356714114546776
-0.084022795938658676 0.055450722575187683 0.00041697340202517807
-0.082343477740838028 0.05547206848859787 0.00039395014755427837
-0.08068547897547125 0.055361315608024597 0.00041862568468786776
-0.079003968368151073 0.055497940629720688 0.00039584658225066960
-0.077334494232400908 0.054601375013589859 0.00040245792479254305
-0.075649816412851359 0.05483570322394371 0.00039233348798006773
-0.073980878510603712 0.052992913872003555 0.00040307766175828874
-0.072334124908895472 0.054880712181329727 0.00038965398562140763
-0.070619409045565462 0.053855679929256439 0.00040863381582312286
-0.068974684032774347 0.054229617118835449 0.00038196681998670101
-0.067298961260983947 0.053772851824760437 0.00040671229362487793
-0.06563526114717888 0.054745733737945557 0.00039692004793323576
-0.063931961190517306 0.053386017680168152 0.00040303377318195999
-0.062272025956623595 0.053400173783302307 0.00038507510907948017
-0.060531521892695311 0.05292835459113121 0.00040423255995847285
-0.05887779433108515 0.052986778318881989 0.00042430084431543946
-0.05718993843084362 0.052077203989028931 0.00040273088961839676
-0.055518450296785246 0.053482938557863235 0.00041769474046304822
-0.053844986228621758 0.052022363990545273 0.00041172225610353053
-0.052187049076778652 0.052363608032464981 0.00041932641761377454
-0.050486060504155189 0.051392380148172379 0.00040289605385623872
-0.048843490376639841 0.051951151341199875 0.00042430520989000797
-0.047154973719384645 0.050716198980808258 0.00040553713915869594
-0.045500647871184956 0.052767645567655563 0.00042610365198925138
-0.043778835460627233 0.051361478865146637 0.00041804759530350566
-0.042159242349965237 0.051261212676763535 0.00042028806637972593
-0.04038602260202262 0.051293414086103439 0.00038174353539943695
-0.038746107163342966 0.051077745854854584 0.00042926677269861102
-0.037060832085378782 0.049478098750114441 0.00039422372356057167
-0.035385376207624268 0.050680279731750488 0.00042599148582667112
-0.033719624234991155 0.048822693526744843 0.00039205199573189020
-0.032055300743830034 0.049313116818666458 0.00045102037256583571
-0.030330704505987752 0.04439873993396759 0.00038688513450324535
-0.028672011103857104 0.036291509866714478 0.00037390351644717157
-0.026982654407481439 0.029173664748668671 0.00033245084341615438
-0.025320262841984131 0.024896733462810516 0.00034298253012821078
-0.023673467775576617 0.024245563894510269 0.00030488637275993824
-0.022017607929474603 0.023910094052553177 0.00033514297683723271
-0.020335025703352546 0.023333031684160233 0.00030475773382931948
-0.018690481265546517 0.021566435694694519 0.00032318176818080246
-0.016970378927292931 0.021073281764984131 0.00031650310847908258
-0.015271976612598024 0.019009500741958618 0.00031964606023393571
-0.013608882973456074 0.015275429002940655 0.00028525953530333936
-0.011970088359624839 0.011558869853615761 0.00029208217165432870
-0.01021865374472296 0.0087478514760732651 0.00026727266958914697
-0.0085786630776517377 0.0072918678633868694 0.00025247997837141156
-0.0069679592195748506 0.0064186966046690941 0.00023454049369320273
-0.0052860177627405301 0.005772705189883709 0.00027242550277151167
-0.0036052505447803644 0.0052076797001063824 0.00024888562620617449
-0.0019026157345226576 0.0042309430427849293 0.00028256422956474125
-0.00019210514878916367 0.0040019843727350235 0.00022312991495709866
0.0014587911064250915 0.0036224266514182091 0.00025478246971033514
0.0031001035612631344 0.0031344713643193245 0.00022915197769179940
0.0047603779457379009 0.0028760370332747698 0.00025724637089297175
0.0064842263210206632 0.0027094059623777866 0.00023707053333055228
0.0081362155203453107 0.002550795441493392 0.00025674985954537988
0.0097715312186469633 0.0033174746204167604 0.00023337740276474506
0.011528310047349197 0.0025109355337917805 0.00027287128614261746
0.013137240018641163 0.0026301660109311342 0.00024082760501187295
0.014981348272531799 0.0025975916069000959 0.00022989162243902683
0.016676388947772867 0.002784480107948184 0.00026859814533963799
0.018266888740368567 0.0032533528283238411 0.00024982137256301939
0.019995869584040055 0.00309175462462008 0.00025672352057881653
0.021621755994333955 0.0042019160464406013 0.00024165560898836702
0.023399976385727005 0.0039325933903455734 0.00027279701316729188
0.025112571643433453 0.0042450800538063049 0.00027804981800727546
0.02670833309108599 0.0079523362219333649 0.00026539099053479731
0.028403327398527221 0.014660341665148735 0.00031199553632177413
0.030135062379333659 0.022565891966223717 0.00035664514871314168
0.031795335405089879 0.027270035818219185 0.00035432676668278873
0.033467861324705445 0.028749993070960045 0.00033958509447984397
0.035147871949704194 0.029091935604810715 0.00036862102570012212
0.036819641579573459 0.028620583936572075 0.00032996921800076962
0.038484209922062418 0.02901604026556015 0.00034497774322517216
